Rank,Song,Artist,Year,Concatenated,Concatenated_no_rank,song_artist
,,,,825 Woman John Lennon 1981,Woman John Lennon 1981,Woman John Lennon 
,,,,826 Ballerina Vaughn Monroe 1948,Ballerina Vaughn Monroe 1948,Ballerina Vaughn Monroe 
,,,,827 We Built This City Jefferson Starship 1985,We Built This City Jefferson Starship 1985,We Built This City Jefferson Starship 
,,,,828 19th Nervous Breakdown The Rolling Stones 1966,19th Nervous Breakdown The Rolling Stones 1966,19th Nervous Breakdown The Rolling Stones 
,,,,829 Working My Way Back to You The Detroit Spinners 1980,Working My Way Back to You The Detroit Spinners 1980,Working My Way Back to You The Detroit Spinners 
,,,,830 Superstar Carpenters 1971,Superstar Carpenters 1971,Superstar Carpenters 
,,,,831 Foolish Games Jewel 1997,Foolish Games Jewel 1997,Foolish Games Jewel 
,,,,832 Get Down Tonight KC & The Sunshine Band 1975,Get Down Tonight KC & The Sunshine Band 1975,Get Down Tonight KC & The Sunshine Band 
,,,,833 On Bended Knee Boyz II Men 1995,On Bended Knee Boyz II Men 1995,On Bended Knee Boyz II Men 
,,,,834 Magic Carpet Ride Steppenwolf 1968,Magic Carpet Ride Steppenwolf 1968,Magic Carpet Ride Steppenwolf 
,,,,835 Only You (And You Alone) The Platters 1955,Only You (And You Alone) The Platters 1955,Only You (And You Alone) The Platters 
,,,,836 A String of Pearls Glenn Miller 1942,A String of Pearls Glenn Miller 1942,A String of Pearls Glenn Miller 
,,,,837 A Tree in the Meadow Margaret Whiting 1948,A Tree in the Meadow Margaret Whiting 1948,A Tree in the Meadow Margaret Whiting 
,,,,838 So Much in Love The Tymes 1963,So Much in Love The Tymes 1963,So Much in Love The Tymes 
,,,,839 Every Little Thing She Does is Magic The Police 1981,Every Little Thing She Does is Magic The Police 1981,Every Little Thing She Does is Magic The Police 
,,,,840 La Bamba Los Lobos 1987,La Bamba Los Lobos 1987,La Bamba Los Lobos 
,,,,841 Tighten Up Archie Bell & The Drells 1968,Tighten Up Archie Bell & The Drells 1968,Tighten Up Archie Bell & The Drells 
,,,,842 Three Times a Lady The Commodores 1978,Three Times a Lady The Commodores 1978,Three Times a Lady The Commodores 
,,,,843 Airplanes BoB & Hayley Williams 2010,Airplanes BoB & Hayley Williams 2010,Airplanes BoB & Hayley Williams 
,,,,844 Wild Thing Tone Loc 1989,Wild Thing Tone Loc 1989,Wild Thing Tone Loc 
,,,,845 Don't Leave Me This Way Thelma Houston 1977,Don't Leave Me This Way Thelma Houston 1977,Don't Leave Me This Way Thelma Houston 
,,,,846 Rock the Casbah The Clash 1982,Rock the Casbah The Clash 1982,Rock the Casbah The Clash 
,,,,847 Feel Good Inc Gorillaz 2005,Feel Good Inc Gorillaz 2005,Feel Good Inc Gorillaz 
,,,,848 Love Me Do The Beatles 1964,Love Me Do The Beatles 1964,Love Me Do The Beatles 
,,,,849 Kiss On My List Hall & Oates 1981,Kiss On My List Hall & Oates 1981,Kiss On My List Hall & Oates 
,,,,"850 Give Me Everything Pitbull, Ne-Yo, Afrojack &","Give Me Everything Pitbull, Ne-Yo, Afrojack &","Give Me Everything Pitbull, Ne-Yo, Afrojack "
,,,,Nayer 2011,2011,#VALUE!
,,,,851 Have You Ever Really Loved a Woman? Bryan Adams 1995,Have You Ever Really Loved a Woman? Bryan Adams 1995,Have You Ever Really Loved a Woman? Bryan Adams 
,,,,852 Love Letters in the Sand Pat Boone 1957,Love Letters in the Sand Pat Boone 1957,Love Letters in the Sand Pat Boone 
,,,,853 Ring My Bell Anita Ward 1979,Ring My Bell Anita Ward 1979,Ring My Bell Anita Ward 
,,,,854 Love Child Diana Ross & The Supremes 1968,Love Child Diana Ross & The Supremes 1968,Love Child Diana Ross & The Supremes 
,,,,855 I Feel For You Chaka Khan 1984,I Feel For You Chaka Khan 1984,I Feel For You Chaka Khan 
,,,,"856 Bye, Bye, Bye N Sync 2000","Bye, Bye, Bye N Sync 2000","Bye, Bye, Bye N Sync "
,,,,857 (Let Me Be Your) Teddy Bear Elvis Presley 1957,(Let Me Be Your) Teddy Bear Elvis Presley 1957,(Let Me Be Your) Teddy Bear Elvis Presley 
,,,,858 Soldier Boy The Shirelles 1962,Soldier Boy The Shirelles 1962,Soldier Boy The Shirelles 
,,,,859 Papa's Got a Brand New Bag James Brown 1965,Papa's Got a Brand New Bag James Brown 1965,Papa's Got a Brand New Bag James Brown 
,,,,860 Love Hangover Diana Ross 1976,Love Hangover Diana Ross 1976,Love Hangover Diana Ross 
,,,,861 Venus Frankie Avalon 1959,Venus Frankie Avalon 1959,Venus Frankie Avalon 
,,,,862 Spill the Wine Eric Burdon & War 1970,Spill the Wine Eric Burdon & War 1970,Spill the Wine Eric Burdon & War 
,,,,863 Royals Lorde 2013,Royals Lorde 2013,Royals Lorde 
,,,,864 April Showers Al Jolson 1922,April Showers Al Jolson 1922,April Showers Al Jolson 
,,,,865 Don't You (Forget About Me) Simple Minds 1985,Don't You (Forget About Me) Simple Minds 1985,Don't You (Forget About Me) Simple Minds 
,,,,866 Travellin' Man Ricky Nelson 1961,Travellin' Man Ricky Nelson 1961,Travellin' Man Ricky Nelson 
,,,,867 The Thing Phil Harris 1950,The Thing Phil Harris 1950,The Thing Phil Harris 
,,,,868 You Make Me Feel Brand New The Stylistics 1974,You Make Me Feel Brand New The Stylistics 1974,You Make Me Feel Brand New The Stylistics 
,,,,869 The Glow-Worm The Mills Brothers 1952,The Glow-Worm The Mills Brothers 1952,The Glow-Worm The Mills Brothers 
,,,,870 You Don't Bring Me Flowers Barbra Streisand & Neil,You Don't Bring Me Flowers Barbra Streisand & Neil,You Don't Bring Me Flowers Barbra Streisand & 
,,,,Diamond 1978,1978,#VALUE!
,,,,871 Summertime Blues Eddie Cochran 1958,Summertime Blues Eddie Cochran 1958,Summertime Blues Eddie Cochran 
,,,,872 Straight Up Paula Abdul 1989,Straight Up Paula Abdul 1989,Straight Up Paula Abdul 
,,,,"873 Sunday, Monday or Always Bing Crosby 1943","Sunday, Monday or Always Bing Crosby 1943","Sunday, Monday or Always Bing Crosby "
,,,,874 Wake Up Little Susie The Everly Brothers 1957,Wake Up Little Susie The Everly Brothers 1957,Wake Up Little Susie The Everly Brothers 
,,,,875 She's a Lady Tom Jones 1971,She's a Lady Tom Jones 1971,She's a Lady Tom Jones 
,,,,876 Over There American Quartet 1917,Over There American Quartet 1917,Over There American Quartet 
,,,,877 Little Darlin' The Diamonds 1957,Little Darlin' The Diamonds 1957,Little Darlin' The Diamonds 
,,,,878 Rag Mop The Ames Brothers 1950,Rag Mop The Ames Brothers 1950,Rag Mop The Ames Brothers 
,,,,879 Shake Down Bob Seger & The Silver,Shake Down Bob Seger & The Silver,Shake Down Bob Seger & The 
,,,,Bullet Band 1987,Band 1987,Band 
,,,,880 Up Around the Bend Creedence Clearwater,Up Around the Bend Creedence Clearwater,Up Around the Bend Creedence 
,,,,Revival 1970,1970,#VALUE!
,,,,881 Harbour Lights Sammy Kaye 1950,Harbour Lights Sammy Kaye 1950,Harbour Lights Sammy Kaye 
,,,,882 Chances Are Johnny Mathis 1957,Chances Are Johnny Mathis 1957,Chances Are Johnny Mathis 
,,,,883 Mood Indigo Duke Ellington 1931,Mood Indigo Duke Ellington 1931,Mood Indigo Duke Ellington 
,,,,884 Pony Time Chubby Checker 1961,Pony Time Chubby Checker 1961,Pony Time Chubby Checker 
,,,,885 After You've Gone Marion Harris 1919,After You've Gone Marion Harris 1919,After You've Gone Marion Harris 
,,,,886 I Wanna Love You Akon & Snoop Dogg 2007,I Wanna Love You Akon & Snoop Dogg 2007,I Wanna Love You Akon & Snoop Dogg 
,,,,887 Da Doo Ron Ron (When He Walked Me Home) The Crystals 1963,Da Doo Ron Ron (When He Walked Me Home) The Crystals 1963,Da Doo Ron Ron (When He Walked Me Home) The Crystals 
,,,,888 If You Don't Know Me By Now Harold Melvin & The,If You Don't Know Me By Now Harold Melvin & The,If You Don't Know Me By Now Harold Melvin & 
,,,,Bluenotes 1972,1972,#VALUE!
,,,,889 Green Tambourine The Lemon Pipers 1968,Green Tambourine The Lemon Pipers 1968,Green Tambourine The Lemon Pipers 
,,,,890 My Man Fanny Brice 1922,My Man Fanny Brice 1922,My Man Fanny Brice 
,,,,891 If I Didn't Care The Ink Spots 1939,If I Didn't Care The Ink Spots 1939,If I Didn't Care The Ink Spots 
,,,,892 St George & the Dragonette Stan Freberg 1953,St George & the Dragonette Stan Freberg 1953,St George & the Dragonette Stan Freberg 
,,,,893 Why Don't You Believe Me? Joni James 1952,Why Don't You Believe Me? Joni James 1952,Why Don't You Believe Me? Joni James 
,,,,894 How Will I Know Whitney Houston 1986,How Will I Know Whitney Houston 1986,How Will I Know Whitney Houston 
,,,,895 Disco Duck Rick Dees & his Cast of,Disco Duck Rick Dees & his Cast of,Disco Duck Rick Dees & his Cast 
,,,,Idiots 1976,1976,#VALUE!
,,,,896 Lonely Boy Paul Anka 1959,Lonely Boy Paul Anka 1959,Lonely Boy Paul Anka 
,,,,897 Never Gonna Give You Up Rick Astley 1988,Never Gonna Give You Up Rick Astley 1988,Never Gonna Give You Up Rick Astley 
,,,,898 Before The Next Teardrop Falls Freddy Fender 1975,Before The Next Teardrop Falls Freddy Fender 1975,Before The Next Teardrop Falls Freddy Fender 
,,,,899 Running Scared Roy Orbison 1961,Running Scared Roy Orbison 1961,Running Scared Roy Orbison 
,,,,900 Let's Hear it For the Boy Deniece Williams 1984,Let's Hear it For the Boy Deniece Williams 1984,Let's Hear it For the Boy Deniece Williams 
,,,,901 Sleep Walk Santo & Johnny 1959,Sleep Walk Santo & Johnny 1959,Sleep Walk Santo & Johnny 
,,,,902 Walk On the Wild Side Lou Reed 1973,Walk On the Wild Side Lou Reed 1973,Walk On the Wild Side Lou Reed 
,,,,903 Memories Are Made of This Dean Martin 1956,Memories Are Made of This Dean Martin 1956,Memories Are Made of This Dean Martin 
,,,,904 Open Arms Journey 1982,Open Arms Journey 1982,Open Arms Journey 
,,,,905 Stuck On You Elvis Presley 1960,Stuck On You Elvis Presley 1960,Stuck On You Elvis Presley 
,,,,906 Personality Johnny Mercer 1946,Personality Johnny Mercer 1946,Personality Johnny Mercer 
,,,,907 Feel Like Making Love Roberta Flack 1974,Feel Like Making Love Roberta Flack 1974,Feel Like Making Love Roberta Flack 
,,,,908 Stars & Stripes Forever Sousa's Band 1901,Stars & Stripes Forever Sousa's Band 1901,Stars & Stripes Forever Sousa's Band 
,,,,909 Besame Mucho Jimmy Dorsey 1944,Besame Mucho Jimmy Dorsey 1944,Besame Mucho Jimmy Dorsey 
,,,,910 Let Me Call You Sweetheart Peerless Quartet 1911,Let Me Call You Sweetheart Peerless Quartet 1911,Let Me Call You Sweetheart Peerless Quartet 
,,,,911 La Bamba Ritchie Valens 1958,La Bamba Ritchie Valens 1958,La Bamba Ritchie Valens 
,,,,912 Indian Reservation (The Lament Of The,Indian Reservation (The Lament Of The,Indian Reservation (The Lament Of 
,,,,Cherokee Reservation Indian) Paul Revere & the Raiders 1971,Reservation Indian) Paul Revere & the Raiders 1971,Reservation Indian) Paul Revere & the Raiders 
,,,,913 Cars Gary Numan 1980,Cars Gary Numan 1980,Cars Gary Numan 
,,,,914 You Make Me Feel Like Dancing Leo Sayer 1977,You Make Me Feel Like Dancing Leo Sayer 1977,You Make Me Feel Like Dancing Leo Sayer 
,,,,915 Whatcha Say Jason Derulo 2009,Whatcha Say Jason Derulo 2009,Whatcha Say Jason Derulo 
,,,,916 Me & Mrs Jones Billy Paul 1972,Me & Mrs Jones Billy Paul 1972,Me & Mrs Jones Billy Paul 
,,,,917 Bitter Sweet Symphony The Verve 1997,Bitter Sweet Symphony The Verve 1997,Bitter Sweet Symphony The Verve 
,,,,918 Uncle Albert (Admiral Halsey) Wings 1971,Uncle Albert (Admiral Halsey) Wings 1971,Uncle Albert (Admiral Halsey) Wings 
,,,,919 More Than a Feeling Boston 1976,More Than a Feeling Boston 1976,More Than a Feeling Boston 
,,,,920 My Boyfriend's Back The Angels 1963,My Boyfriend's Back The Angels 1963,My Boyfriend's Back The Angels 
,,,,921 People Barbra Streisand 1964,People Barbra Streisand 1964,People Barbra Streisand 
,,,,922 He'll Have to Go Jim Reeves 1960,He'll Have to Go Jim Reeves 1960,He'll Have to Go Jim Reeves 
,,,,923 I Can Help Billy Swan 1974,I Can Help Billy Swan 1974,I Can Help Billy Swan 
,,,,924 The Streak Ray Stevens 1974,The Streak Ray Stevens 1974,The Streak Ray Stevens 
,,,,925 Dreams Fleetwood Mac 1977,Dreams Fleetwood Mac 1977,Dreams Fleetwood Mac 
,,,,926 Hair The Cowsills 1969,Hair The Cowsills 1969,Hair The Cowsills 
,,,,"927 Cold, Cold Heart Tony Bennett 1951","Cold, Cold Heart Tony Bennett 1951","Cold, Cold Heart Tony Bennett "
,,,,928 Nothin' on You BoB & Bruno Mars 2010,Nothin' on You BoB & Bruno Mars 2010,Nothin' on You BoB & Bruno Mars 
,,,,929 The End of the World Skeeter Davis 1963,The End of the World Skeeter Davis 1963,The End of the World Skeeter Davis 
,,,,930 Caldonia Boogie (What Makes Your Big Head,Caldonia Boogie (What Makes Your Big Head,Caldonia Boogie (What Makes Your Big 
,,,,So Hard) Louis Jordan 1945,Hard) Louis Jordan 1945,Hard) Louis Jordan 
,,,,931 I Kissed A Girl Katy Perry 2008,I Kissed A Girl Katy Perry 2008,I Kissed A Girl Katy Perry 
,,,,932 Incense & Peppermints Strawberry Alarm Clock 1967,Incense & Peppermints Strawberry Alarm Clock 1967,Incense & Peppermints Strawberry Alarm Clock 
,,,,933 12th Street Rag Pee Wee Hunt 1948,12th Street Rag Pee Wee Hunt 1948,12th Street Rag Pee Wee Hunt 
,,,,934 West End Blues Louis Armstrong 1928,West End Blues Louis Armstrong 1928,West End Blues Louis Armstrong 
,,,,935 The Way You Move OutKast 2004,The Way You Move OutKast 2004,The Way You Move OutKast 
,,,,936 Smoke Gets in Your Eyes Paul Whiteman 1934,Smoke Gets in Your Eyes Paul Whiteman 1934,Smoke Gets in Your Eyes Paul Whiteman 
,,,,937 Want Ads Honey Cone 1971,Want Ads Honey Cone 1971,Want Ads Honey Cone 
,,,,938 Long Cool Woman in a Black Dress The Hollies 1972,Long Cool Woman in a Black Dress The Hollies 1972,Long Cool Woman in a Black Dress The Hollies 
,,,,939 Hey Baby Bruce Channel 1962,Hey Baby Bruce Channel 1962,Hey Baby Bruce Channel 
,,,,940 (Your Love Keeps Lifting Me) Higher &,(Your Love Keeps Lifting Me) Higher &,(Your Love Keeps Lifting Me) Higher 
,,,,Higher Jackie Wilson 1967,Jackie Wilson 1967,Jackie Wilson 
,,,,941 He's a Rebel The Crystals 1962,He's a Rebel The Crystals 1962,He's a Rebel The Crystals 
,,,,942 Alone Heart 1987,Alone Heart 1987,Alone Heart 
,,,,943 Thrift Shop Macklemore & Ryan Lewis 2013,Thrift Shop Macklemore & Ryan Lewis 2013,Thrift Shop Macklemore & Ryan Lewis 
,,,,944 Don't Let the Sun Go Down On Me Elton John 1974,Don't Let the Sun Go Down On Me Elton John 1974,Don't Let the Sun Go Down On Me Elton John 
,,,,945 The Sweet Escape Gwen Stefani & Akon 2007,The Sweet Escape Gwen Stefani & Akon 2007,The Sweet Escape Gwen Stefani & Akon 
,,,,946 Return to Sender Elvis Presley 1962,Return to Sender Elvis Presley 1962,Return to Sender Elvis Presley 
,,,,947 Here in My Heart Al Martino 1952,Here in My Heart Al Martino 1952,Here in My Heart Al Martino 
,,,,948 Wabash Cannonball Roy Acuff 1938,Wabash Cannonball Roy Acuff 1938,Wabash Cannonball Roy Acuff 
,,,,949 Ain't That a Shame Fats Domino 1955,Ain't That a Shame Fats Domino 1955,Ain't That a Shame Fats Domino 
,,,,950 Travellin' Band Creedence Clearwater,Travellin' Band Creedence Clearwater,Travellin' Band Creedence 
,,,,Revival 1970,1970,#VALUE!
,,,,951 I'm Your Boogie Man KC & The Sunshine Band 1977,I'm Your Boogie Man KC & The Sunshine Band 1977,I'm Your Boogie Man KC & The Sunshine Band 
,,,,952 I Write the Songs Barry Manilow 1976,I Write the Songs Barry Manilow 1976,I Write the Songs Barry Manilow 
,,,,953 This Love Maroon 5 2004,This Love Maroon 5 2004,This Love Maroon 5 
,,,,954 Lights Ellie Goulding 2012,Lights Ellie Goulding 2012,Lights Ellie Goulding 
,,,,955 Will It Go Round In Circles Billy Preston 1973,Will It Go Round In Circles Billy Preston 1973,Will It Go Round In Circles Billy Preston 
,,,,956 Purple Haze Jimi Hendrix 1967,Purple Haze Jimi Hendrix 1967,Purple Haze Jimi Hendrix 
,,,,957 Rock Your Baby George McCrae 1974,Rock Your Baby George McCrae 1974,Rock Your Baby George McCrae 
,,,,958 Delicado Percy Faith 1952,Delicado Percy Faith 1952,Delicado Percy Faith 
,,,,959 Tammy Debbie Reynolds 1957,Tammy Debbie Reynolds 1957,Tammy Debbie Reynolds 
,,,,960 Check On It Beyonce 2006,Check On It Beyonce 2006,Check On It Beyonce 
,,,,961 Breaking Up is Hard to Do Neil Sedaka 1962,Breaking Up is Hard to Do Neil Sedaka 1962,Breaking Up is Hard to Do Neil Sedaka 
,,,,962 1999 Prince 1983,1999 Prince 1983,1999 Prince 
,,,,963 Prisoner of Love Perry Como 1946,Prisoner of Love Perry Como 1946,Prisoner of Love Perry Como 
,,,,964 Wild Wild West The Escape Club 1988,Wild Wild West The Escape Club 1988,Wild Wild West The Escape Club 
,,,,965 Walk Like a Man The Four Seasons 1963,Walk Like a Man The Four Seasons 1963,Walk Like a Man The Four Seasons 
,,,,966 Ain't No Mountain High Enough Diana Ross 1970,Ain't No Mountain High Enough Diana Ross 1970,Ain't No Mountain High Enough Diana Ross 
,,,,967 I Will Follow Him Little Peggy March 1963,I Will Follow Him Little Peggy March 1963,I Will Follow Him Little Peggy March 
,,,,968 Glamorous Fergie & Ludacris 2007,Glamorous Fergie & Ludacris 2007,Glamorous Fergie & Ludacris 
,,,,969 Yellow Rose of Texas Mitch Miller 1955,Yellow Rose of Texas Mitch Miller 1955,Yellow Rose of Texas Mitch Miller 
,,,,970 That Old Black Magic Glenn Miller 1943,That Old Black Magic Glenn Miller 1943,That Old Black Magic Glenn Miller 
,,,,971 I'm So Lonesome I Could Cry Hank Williams 1949,I'm So Lonesome I Could Cry Hank Williams 1949,I'm So Lonesome I Could Cry Hank Williams 
,,,,972 Up Up & Away Fifth Dimension 1967,Up Up & Away Fifth Dimension 1967,Up Up & Away Fifth Dimension 
,,,,973 Baby Come Back Player 1978,Baby Come Back Player 1978,Baby Come Back Player 
,,,,974 Let it Snow! Let it Snow! Let it Snow! Vaughn Monroe 1946,Let it Snow! Let it Snow! Let it Snow! Vaughn Monroe 1946,Let it Snow! Let it Snow! Let it Snow! Vaughn Monroe 
,,,,975 Pon De Replay Rihanna 2005,Pon De Replay Rihanna 2005,Pon De Replay Rihanna 
,,,,976 Because I Love You (The Postman Song) Stevie B 1990,Because I Love You (The Postman Song) Stevie B 1990,Because I Love You (The Postman Song) Stevie B 
,,,,977 Sleepy Lagoon Harry James 1942,Sleepy Lagoon Harry James 1942,Sleepy Lagoon Harry James 
,,,,978 Baker Street Gerry Rafferty 1978,Baker Street Gerry Rafferty 1978,Baker Street Gerry Rafferty 
,,,,979 Dardanella Ben Selvin 1920,Dardanella Ben Selvin 1920,Dardanella Ben Selvin 
,,,,980 You Don't Have to Be a Star (To Be in My,You Don't Have to Be a Star (To Be in My,You Don't Have to Be a Star (To Be in 
,,,,Show),#N/A,#N/A
,,,,Marilyn McCoo & Billy,McCoo & Billy,McCoo & 
,,,,Davis Jr 1977,Jr 1977,Jr 
,,,,"981 Leaving, on a Jet Plane Peter, Paul & Mary 1969","Leaving, on a Jet Plane Peter, Paul & Mary 1969","Leaving, on a Jet Plane Peter, Paul & Mary "
,,,,982 Glory of Love Peter Cetera 1986,Glory of Love Peter Cetera 1986,Glory of Love Peter Cetera 
,,,,983 Theme From 'Greatest American Hero',Theme From 'Greatest American Hero',Theme From 'Greatest American 
,,,,(Believe It Or Not) Joey Scarbury 1981,It Or Not) Joey Scarbury 1981,It Or Not) Joey Scarbury 
,,,,984 Shake You Down Gregory Abbott 1987,Shake You Down Gregory Abbott 1987,Shake You Down Gregory Abbott 
,,,,985 Ole Buttermilk Sky Kay Kyser 1946,Ole Buttermilk Sky Kay Kyser 1946,Ole Buttermilk Sky Kay Kyser 
,,,,986 I Can't Get Started Bunny Berigan 1938,I Can't Get Started Bunny Berigan 1938,I Can't Get Started Bunny Berigan 
,,,,987 Freak Me Silk 1993,Freak Me Silk 1993,Freak Me Silk 
,,,,988 Hot Child In The City Nick Gilder 1978,Hot Child In The City Nick Gilder 1978,Hot Child In The City Nick Gilder 
,,,,989 Man in the Mirror Michael Jackson 1988,Man in the Mirror Michael Jackson 1988,Man in the Mirror Michael Jackson 
,,,,990 Queen of Hearts Juice Newton 1981,Queen of Hearts Juice Newton 1981,Queen of Hearts Juice Newton 
991,Let's Groove,"Earth, Wind & Fire",1981,"991 Let's Groove Earth, Wind & Fire 1981","Let's Groove Earth, Wind & Fire 1981","Let's Groove Earth, Wind & Fire "
992,Change the World,Eric Clapton,1996,992 Change the World Eric Clapton 1996,Change the World Eric Clapton 1996,Change the World Eric Clapton 
993,You make Me Wanna,Usher,1998,993 You make Me Wanna Usher 1998,You make Me Wanna Usher 1998,You make Me Wanna Usher 
994,Someday,Mariah Carey,1991,994 Someday Mariah Carey 1991,Someday Mariah Carey 1991,Someday Mariah Carey 
995,Eve of Destruction,Barry McGuire,1965,995 Eve of Destruction Barry McGuire 1965,Eve of Destruction Barry McGuire 1965,Eve of Destruction Barry McGuire 
996,One of Us,Joan Osborne,1996,996 One of Us Joan Osborne 1996,One of Us Joan Osborne 1996,One of Us Joan Osborne 
997,Honky Tonk,Bill Doggett,1956,997 Honky Tonk Bill Doggett 1956,Honky Tonk Bill Doggett 1956,Honky Tonk Bill Doggett 
998,Be Bop a Lula,Gene Vincent,1956,998 Be Bop a Lula Gene Vincent 1956,Be Bop a Lula Gene Vincent 1956,Be Bop a Lula Gene Vincent 
999,Two Hearts,Phil Collins,1989,999 Two Hearts Phil Collins 1989,Two Hearts Phil Collins 1989,Two Hearts Phil Collins 
1000,Paper Planes,MIA,2008,1000 Paper Planes MIA 2008,Paper Planes MIA 2008,Paper Planes MIA 
,,,,,x,x
